model,test_data,initial_cost,final_cost,final_cost_baseline,execution_time,execution_time_baseline,LGSA_steps,SA_steps,dimension
20260129_224725_x2uj6g8k,nazari,57.82952499389648,16.141773223876953,,1957.021782875061,tensor(nan),100000,tensor(nan),100
20260129_224725_x2uj6g8k,nazari,12.54043674468994,6.929341793060303,,0.4008278846740722,tensor(nan),100,tensor(nan),20
20260129_224725_x2uj6g8k,nazari,12.54043674468994,6.357449531555176,,16.610718250274658,tensor(nan),5000,tensor(nan),20
20260129_224725_x2uj6g8k,nazari,6.877917766571045,4.586720943450928,,87.66105079650879,tensor(nan),50000,tensor(nan),10
20260129_224725_x2uj6g8k,nazari,57.82952499389648,21.90878295898437,,2.061898231506348,tensor(nan),100,tensor(nan),100
20260129_224725_x2uj6g8k,nazari,6.877917766571045,4.724701404571533,,1.8107938766479488,tensor(nan),1000,tensor(nan),10
20260129_224725_x2uj6g8k,nazari,57.82952499389648,16.539743423461914,,199.37380027771,tensor(nan),10000,tensor(nan),100
20260129_224725_x2uj6g8k,nazari,12.54043674468994,6.233713150024414,,166.74809288978577,tensor(nan),50000,tensor(nan),20
20260129_224725_x2uj6g8k,nazari,57.82952499389648,16.233434677124023,,967.0298981666564,tensor(nan),50000,tensor(nan),100
20260129_224725_x2uj6g8k,nazari,29.773218154907227,10.819104194641112,,95.80397057533264,tensor(nan),10000,tensor(nan),50
20260129_224725_x2uj6g8k,nazari,29.773218154907227,10.590612411499023,,976.583704471588,tensor(nan),100000,tensor(nan),50
20260129_224725_x2uj6g8k,nazari,12.54043674468994,6.208619117736816,,327.18795228004456,tensor(nan),100000,tensor(nan),20
20260129_224725_x2uj6g8k,nazari,29.773218154907227,10.93205451965332,,47.9435613155365,tensor(nan),5000,tensor(nan),50
20260129_224725_x2uj6g8k,nazari,6.877917766571045,4.575808525085449,,175.39594650268555,tensor(nan),100000,tensor(nan),10
20260129_224725_x2uj6g8k,nazari,6.877917766571045,4.890297889709473,,0.2265219688415527,tensor(nan),100,tensor(nan),10
20260129_224725_x2uj6g8k,nazari,29.773218154907227,12.666718482971191,,1.0256731510162354,tensor(nan),100,tensor(nan),50
20260129_224725_x2uj6g8k,nazari,57.82952499389648,16.738611221313477,,99.69740653038023,tensor(nan),5000,tensor(nan),100
20260129_224725_x2uj6g8k,nazari,29.773218154907227,11.334124565124512,,9.637696266174316,tensor(nan),1000,tensor(nan),50
20260129_224725_x2uj6g8k,nazari,12.54043674468994,6.516272068023682,,3.379406452178955,tensor(nan),1000,tensor(nan),20
20260129_224725_x2uj6g8k,nazari,6.877917766571045,4.65106201171875,,8.807080268859863,tensor(nan),5000,tensor(nan),10
20260129_224725_x2uj6g8k,nazari,57.82952499389648,17.526836395263672,,19.986502647399902,tensor(nan),1000,tensor(nan),100
20260129_224725_x2uj6g8k,nazari,6.877917766571045,4.627560615539551,,17.628939628601074,tensor(nan),10000,tensor(nan),10
20260129_224725_x2uj6g8k,nazari,29.773218154907227,10.642833709716797,,483.7567939758301,tensor(nan),50000,tensor(nan),50
20260129_224725_x2uj6g8k,nazari,12.54043674468994,6.310245513916016,,33.40511989593506,tensor(nan),10000,tensor(nan),20
